kappa,oc_frac,omega_c,forcing,deltaE_over_E,deltaE_over_E_weak,W_tau_over_E0,P_eta_total_final,P_eta_total_slope_lastk,peta_fft_fraction_above_omega_c,dominance,csv
0.0005,0.25,0.6111265,bulk,1.1486235118862465e-06,1.1498395318563195e-06,0.0,-1.40380461e-17,-1.420373102314503e-18,0.05106693543580705,coupling,/mnt/e/CascadeProjects/bec-projection-operator-git/analysis/phase8_runs/p8b_k5e-4_oc0250_bulk.csv
0.0005,0.25,0.6111265,edge,1.0969122023705714e-05,1.0969778999290268e-05,0.0,-1.35133547e-17,-1.3420813369363362e-18,0.05162844719279992,coupling,/mnt/e/CascadeProjects/bec-projection-operator-git/analysis/phase8_runs/p8b_k5e-4_oc0250_edge.csv
0.0005,0.5,1.222253,bulk,1.2253534225095926e-06,1.2258971979041762e-06,0.0,-1.46599509e-17,-1.4479507445119439e-18,0.0005078128027896614,coupling,/mnt/e/CascadeProjects/bec-projection-operator-git/analysis/phase8_runs/p8b_k5e-4_oc0500_bulk.csv
0.0005,0.5,1.222253,edge,1.1569940476185872e-05,1.1570602380388242e-05,0.0,-1.41116256e-17,-1.3661710887010877e-18,0.0005055098592256405,coupling,/mnt/e/CascadeProjects/bec-projection-operator-git/analysis/phase8_runs/p8b_k5e-4_oc0500_edge.csv
0.0005,1.0,2.444506,bulk,1.2672061011712952e-06,1.2680518447261512e-06,0.0,-1.49690078e-17,-1.4604385957075949e-18,1.0798346038781778e-05,coupling,/mnt/e/CascadeProjects/bec-projection-operator-git/analysis/phase8_runs/p8b_k5e-4_oc1000_bulk.csv
0.0005,1.0,2.444506,edge,1.1902901785692727e-05,1.1903430124998506e-05,0.0,-1.44077834e-17,-1.3768175368475353e-18,1.0731591940439202e-05,coupling,/mnt/e/CascadeProjects/bec-projection-operator-git/analysis/phase8_runs/p8b_k5e-4_oc1000_edge.csv
0.002,0.25,0.6111265,bulk,3.211030505937374e-06,3.2108033394614006e-06,0.0,-5.59694413e-17,-5.6463312393762295e-18,0.05114218525011532,coupling,/mnt/e/CascadeProjects/bec-projection-operator-git/analysis/phase8_runs/p8b_k2e-3_oc0250_bulk.csv
0.002,0.25,0.6111265,edge,2.7271205357035034e-05,2.7273261166275114e-05,0.0,-5.45528963e-17,-5.39826043411064e-18,0.05170449326231876,coupling,/mnt/e/CascadeProjects/bec-projection-operator-git/analysis/phase8_runs/p8b_k2e-3_oc0250_edge.csv
0.002,0.5,1.222253,bulk,3.513299851194891e-06,3.5126353537443724e-06,0.0,-5.84098567e-17,-5.751650293865299e-18,0.0005077701817436297,coupling,/mnt/e/CascadeProjects/bec-projection-operator-git/analysis/phase8_runs/p8b_k2e-3_oc0500_bulk.csv
0.002,0.5,1.222253,edge,2.965401785714837e-05,2.9657574346349168e-05,0.0,-5.68997822e-17,-5.489828438227241e-18,0.000505623723519357,coupling,/mnt/e/CascadeProjects/bec-projection-operator-git/analysis/phase8_runs/p8b_k2e-3_oc0500_edge.csv
0.002,1.0,2.444506,bulk,3.678385416531374e-06,3.6797748670106924e-06,0.0,-5.9620105e-17,-5.798983700827697e-18,1.0795083256335925e-05,coupling,/mnt/e/CascadeProjects/bec-projection-operator-git/analysis/phase8_runs/p8b_k2e-3_oc1000_bulk.csv
0.002,1.0,2.444506,edge,3.0974702380917295e-05,3.0977179699610185e-05,0.0,-5.80590332e-17,-5.529911485465285e-18,1.0728916580208301e-05,coupling,/mnt/e/CascadeProjects/bec-projection-operator-git/analysis/phase8_runs/p8b_k2e-3_oc1000_edge.csv
